player_id,player_name,position,jersey_number,years_exp,college,headshot_url,position_group,physical_grade,physical_raw,physical_coverage,physical_ci_low,physical_ci_high,physical_features_used,physical_features_missing,physical_missing_names,statistical_grade,statistical_coverage,statistical_ci_low,statistical_ci_high,statistical_features_used,statistical_features_missing,experience_bucket,scheme_experience
00-0040894,Malik Benson,WR,19.0,0,,,WR,54.57,54.57,0.5714,50.93,58.21,8,6,"ht, forty, shuttle, cone, broad_jump, vertical",69.07,0.2,55.17,82.97,1,4,rookie (college),unknown
00-0040729,Jack Bech,WR,18.0,1,TCU; LSU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/feplgtl0x1svqen9szwv",WR,54.38,54.38,0.9286,50.74,58.02,13,1,forty,65.65,0.8,58.02,73.29,4,1,sophomore (193 snaps),yes
00-0041011,E.J. Williams,WR,36.0,0,,,WR,54.37,54.37,0.5714,50.73,58.01,8,6,"ht, forty, shuttle, cone, broad_jump, vertical",71.21,0.2,57.31,85.12,1,4,rookie (college),unknown
00-0037382,Brandon Johnson,WR,89.0,4,UCF; Tennessee,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjdx1jdr9snczoeyevli",WR,53.88,53.88,0.5714,47.15,60.62,8,6,"contested_catch_rate, forty, shuttle, cone, broad_jump, vertical",66.93,0.4,54.76,79.11,2,3,sophomore (9 snaps),unknown
00-0037291,Jalen Nailor,WR,9.0,4,Michigan State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sdsx2pttiiwbfpyuuwiz",WR,51.94,51.94,1.0,48.3,55.58,7,0,,59.09,1.0,55.45,62.73,5,0,veteran,yes
00-0037093,Dareke Young,WR,81.0,4,Lenoir Rhyne,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umjr6zhpksws2vpfo0qe",WR,50.71,50.71,1.0,47.07,54.34,7,0,,64.51,0.4,52.34,76.69,2,3,veteran,yes
00-0032208,Phillip Dorsett,WR,13.0,11,Miami,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zkmdppfkcxqn5iwlcsyy",WR,40.85,40.85,0.5,25.42,56.29,7,7,"grades_pass_route, yprr, avg_depth_of_target, slot_rate, yards_after_catch_per_reception, contested_catch_rate, targeted_qb_rating",48.24,1.0,44.6,51.88,5,0,sophomore (66 snaps),yes
00-0041022,Jonathan Brady,WR,83.0,0,,,WR,33.9,33.9,0.5714,30.26,37.54,8,6,"ht, forty, shuttle, cone, broad_jump, vertical",52.93,0.2,39.03,66.83,1,4,rookie (college),unknown
00-0040581,Dont'e Thornton Jr.,WR,10.0,1,Tennessee; Oregon,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hlxztd3lpjaxtzojuxwh",WR,30.43,30.43,0.8571,26.8,34.07,12,2,"shuttle, cone",42.35,1.0,38.72,45.99,5,0,sophomore (253 snaps),yes
00-0038590,Justin Shorter,WR,88.0,3,Florida; Penn State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htymyxoyw1hh52zoo3lb",WR,26.98,26.98,0.7143,18.18,35.78,5,2,"shuttle, cone",46.63,1.0,43.0,50.27,5,0,rookie,yes
00-0035317,Joshua Miles,OL,77.0,7,Morgan State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ykzlb5vdb8erowhjhelw",,,,,,,,,,,,,,,,,unknown
